X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766767.42;6284746.08;0.42;0.17;49;3360;94
766656.36;6284841.69;0.47;0.19;24;3760;63.6
766659.01;6284840.38;0.23;0.23;32;1840;61
766660.74;6284839.47;0.48;0.08;36;3840;77.5
766664.45;6284837.44;0.52;0.23;16;4160;58.8
766666.66;6284836.28;0.38;0.55;25;3040;64.2
766669.45;6284834.94;0.52;0.17;23;4160;64.8
766671.87;6284833.58;0.36;0.27;30;2880;65.6
766674.11;6284832.41;0.53;0.17;19;4240;60.9
766678.12;6284830.26;0.56;0.15;4;4480;55.6
766679.46;6284829.65;0.45;0.31;10;3600;54.9
766682.54;6284827.93;0.55;0.21;19;4400;62.3
766685.37;6284826.44;0.79;0.14;-17;6320;57.8
766687.2;6284825.41;0.59;0.24;23;4720;69.2
766691.26;6284823.23;0.6;0.25;11;4800;60.6
766694.51;6284821.61;0.35;0.2;37;2800;72.7
766696.03;6284820.72;0.55;0.17;32;4400;77.5
766699.86;6284818.75;0.29;0.21;20;2320;54.1
766700.64;6284818.47;0.52;0.05;23;4160;63.4
766704.77;6284816.22;0.49;0.04;38;3920;80.3
766707.01;6284815.02;0.26;0.42;24;2080;56.8
766709.71;6284813.63;0.51;0.27;28;4080;71.3
766711.6;6284812.67;0.23;0.66;26;1840;59.1
766714.09;6284811.47;0.47;0.11;37;3760;78.6
766718.29;6284809.16;0.51;0.15;33;4080;76.2
766719.59;6284808.48;0.33;0.47;26;2640;61.9
766723.1;6284806.77;0.53;0.14;15;4240;57.9
766726.28;6284804.92;0.49;0.18;43;3920;89.6
766728.92;6284803.63;0.26;0.18;28;2080;57.7
766731.2;6284802.44;0.47;0.17;34;3760;75.3
766733.45;6284801.18;0.57;0.19;-4;4560;53.9
766735.97;6284799.88;0.46;0.05;47;3680;91.9
766740.11;6284797.59;0.49;0.02;28;3920;67.2
766742;6284796.6;0.44;0.25;23;3520;61.6
766745.12;6284794.93;0.49;0.45;26;3920;69.9
766746.16;6284794.3;0.24;0.21;19;1920;52.6
766749.75;6284792.6;0.45;0.18;44;3600;88.3
766753.53;6284790.51;0.49;0.09;39;3920;82.3
766754.98;6284789.76;0.4;0.25;29;3200;66.3
766758.05;6284788.04;0.53;0.24;28;4240;72
766760.27;6284786.8;0.38;0.22;33;3040;69.6
766762.87;6284785.27;0.52;0.33;32;4160;77.8
766765.64;6284783.97;0.53;0.2;16;4240;58.8
766769.95;6284781.68;0.34;0.19;32;2720;66
766771.39;6284780.94;0.6;0.29;9;4800;60.3
766773.82;6284779.69;0.44;0.23;29;3520;68.2
766775.73;6284778.61;0.56;0.16;14;4480;59
766780.08;6284776.32;0.48;0.15;29;3840;69.4
766782.57;6284775.01;0.43;0.13;32;3440;70.1
766784.67;6284773.94;0.51;0.2;29;4080;71.6
766785.83;6284773.27;0.18;0.23;22;1440;52.6
766789.33;6284771.45;0.51;0.23;22;4080;63.8
766792.58;6284769.81;0.51;0.46;31;4080;77.6
766795.25;6284768.42;0.43;0.18;47;3440;91.7
766797.5;6284767.29;0.51;0.18;40;4080;86.4
766800.28;6284765.72;0.32;0.75;28;2560;66.7
766802.61;6284764.55;0.54;0.31;22;4320;66.2
766805.67;6284762.98;0.53;0.26;30;4240;74.8
766808.12;6284761.67;0.32;0.68;-4;2560;49.5
766811.23;6284759.98;0.51;0.2;48;4080;99.6
766813.42;6284758.84;0.39;0.17;34;3120;70.8
766816.24;6284757.45;0.45;0.29;46;3600;93.3
766817.85;6284756.59;0.25;0.12;47;2000;78.9
766806.86;6284756.48;0.64;0.88;11;5120;69.8
766804.84;6284757.61;0.51;0.37;35;4080;81.8
766801.16;6284759.54;0.38;0.43;19;3040;57.6
766799.05;6284760.67;0.51;0.22;28;4080;70.6
766797.01;6284761.78;0.42;0.83;21;3360;64.8
766793.75;6284763.5;0.43;0.16;43;3440;85.2
766790.88;6284765.02;0.49;0.2;27;3920;68.1
766788.03;6284766.5;0.45;0.14;32;3600;71.3
766785.48;6284767.82;0.57;0.09;13;4560;58.3
766783.28;6284769.04;0.47;0.16;42;3760;86.4
766780.38;6284770.52;0.43;0.11;27;3440;64
766777.46;6284772.12;0.5;0.18;33;4000;76
766774.88;6284773.4;0.5;0.23;25;4000;66.7
766772.56;6284774.62;0.47;0.09;29;3760;68.2
766768.71;6284776.64;0.45;0.08;41;3600;82.5
766767.76;6284777.21;0.35;0.27;23;2800;57.7
766763.96;6284779.3;0.52;0.15;29;4160;71.6
766762.94;6284779.92;0.41;0.17;54;3280;101.7
766759.67;6284781.53;0.51;0.24;36;4080;81.4
766756.18;6284783.34;0.47;0.21;30;3760;70.8
766754.24;6284784.34;0.4;0.23;26;3200;62.8
766751.5;6284785.74;0.39;0.14;54;3120;99.6
766748.68;6284787.28;0.04;0.05;58;320;80
766745.62;6284788.88;0.45;0.14;36;3600;76.4
766742.83;6284790.44;0.48;0.21;26;3840;66.5
766740.37;6284791.68;0.35;0.17;25;2800;58.7
766738.19;6284792.93;0.57;0.2;8;4560;57.8
766735.29;6284794.41;0.45;0.15;22;3600;60
766733.08;6284795.64;0.52;0.17;26;4160;68.2
766729.29;6284797.65;0.51;0.2;24;4080;65.7
766727.66;6284798.46;0.11;0.11;44;880;66.9
766724.25;6284800.29;0.5;0.06;41;4000;85.5
