X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766293.5;6284562.51;0.11;0.1;51;880;82.5;33.2
766293.55;6284559.29;0.13;0.07;46;1040;75.4;37.2
766293.62;6284556.29;0.19;0.07;44;1520;75.2;38.8
766293.72;6284552.81;0.13;0.07;48;1040;78.2;35.6
766293.79;6284550.71;0.2;0.07;49;1600;82.7;34.8
766293.83;6284547.55;0.12;0.07;46;960;75;37.2
766293.9;6284544.65;0.24;0.06;37;1920;67.8;44.4
766293.94;6284540.81;0.14;0.09;43;1120;72.3;39.6
766294;6284538.5;0.14;0.08;38;1120;65.8;43.6
766294.16;6284535.68;0.17;0.1;43;1360;73.7;39.6
766294.25;6284532.49;0.14;0.06;48;1120;78.3;35.6
766323.82;6284655.01;0.02;0.28;11;160;27.2;82.8
766323.95;6284651.36;0.07;0.22;17;560;45.5;60.4
766324;6284648.96;0.12;0.18;28;960;56.3;51.6
766324.08;6284646.17;0.14;0.16;23;1120;51.6;55.6
766324.16;6284642.48;0.07;0.63;21;560;56.2;57.2
766324.22;6284639.76;0.1;0.17;22;800;49.8;56.4
766324.29;6284637.55;0.11;0.19;13;880;42.8;63.6
766324.4;6284633.53;0.11;0.24;14;880;44.3;62.8
766324.46;6284630.39;0.17;0.23;26;1360;56.7;53.2
766324.51;6284627.69;0.13;0.15;20;1040;48.5;58
766324.62;6284624.33;0.09;0.2;24;720;51.8;54.8
766324.63;6284621.77;0.11;0.2;21;880;49.6;57.2
766324.74;6284619.03;0.13;0.16;25;1040;53.2;54
766324.8;6284616.52;0.13;0.11;21;1040;48.7;57.2
766324.86;6284613.06;0.19;0.12;19;1520;48.7;58.8
766324.95;6284610.34;0.12;0.08;34;960;60.6;46.8
766325.03;6284607.01;0.18;0.11;26;1440;54.7;53.2
766325.14;6284604.57;0.12;0.09;27;960;53.6;52.4
766325.16;6284601.77;0.18;0.1;30;1440;58.6;50
