X-Lamb;Y-Lamb;Hauteur;Epaisseur;TFI;LWAl
766777.46;6284772.12;0.5;0.18;0.68;4000
766774.88;6284773.4;0.5;0.23;0.6;4000
766772.56;6284774.62;0.47;0.09;0.64;3760
766768.71;6284776.64;0.45;0.08;0.76;3600
766767.76;6284777.21;0.35;0.27;0.58;2800
766763.96;6284779.3;0.52;0.15;0.64;4160
766762.94;6284779.92;0.41;0.17;0.89;3280
766759.67;6284781.53;0.51;0.24;0.71;4080
766756.18;6284783.34;0.47;0.21;0.65;3760
766754.24;6284784.34;0.4;0.23;0.61;3200
766751.5;6284785.74;0.39;0.14;0.89;3120
766748.68;6284787.28;0.04;0.05;0.93;320
766745.62;6284788.88;0.45;0.14;0.71;3600
766742.83;6284790.44;0.48;0.21;0.61;3840
766740.37;6284791.68;0.35;0.17;0.6;2800
766738.19;6284792.93;0.57;0.2;0.43;4560
766735.29;6284794.41;0.45;0.15;0.57;3600
766733.08;6284795.64;0.52;0.17;0.61;4160
766729.29;6284797.65;0.51;0.2;0.59;4080
766727.66;6284798.46;0.11;0.11;0.79;880
766724.25;6284800.29;0.5;0.06;0.76;4000
766721.81;6284801.62;0.36;0.19;0.62;2880
766719.12;6284803.04;0.52;0.21;0.61;4160
766716.24;6284804.58;0.48;0.21;0.69;3840
766712.84;6284806.29;0.4;0.08;0.81;3200
766711.2;6284807.17;0.51;0.12;0.61;4080
766708.65;6284808.48;0.28;0.29;0.44;2240
766706.02;6284809.83;0.51;0.25;0.65;4080
766702;6284811.75;0.54;0.06;0.77;4320
766699.59;6284813.15;0.41;0.27;0.51;3280
766697.72;6284814.13;0.49;0.1;0.66;3920
766693.4;6284816.43;0.49;0.08;0.76;3920
766691.99;6284817.18;0.44;0.19;0.66;3520
766689.32;6284818.58;0.55;0.09;0.59;4400
766686.46;6284819.94;0.4;0.23;0.66;3200
766684.17;6284821.2;0.54;0.06;0.53;4320
766680.4;6284823.22;0.53;0.1;0.56;4240
766679.45;6284823.77;0.36;0.09;0.65;2880
766675.72;6284825.76;0.45;0.17;0.7;3600
766674.21;6284826.69;0.44;0.12;0.52;3520
766670.76;6284828.28;0.47;0.08;0.57;3760
766667.22;6284830.23;0.47;0.18;0.6;3760
766665.57;6284831.05;0.39;0.15;0.68;3120
766662.13;6284832.87;0.52;0.11;0.57;4160
766659.14;6284834.44;0.17;0.26;0.56;1360
766657.62;6284835.12;0.48;0.13;0.7;3840
766653.72;6284837.06;0.43;0.13;0.62;3440
766651.87;6284834.01;0.49;0.17;0.68;3920
766653.46;6284831.97;0.45;0.17;0.72;3600
