X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer;Pourcentage du taux de recuperation
766658.89;6284814.81;0.51;0.06;57;4080;52.3;50.4
766661.58;6284813.4;0.4;0.11;62;3200;54.8;46.4
766662.97;6284812.62;0.44;0.07;41;3520;37.8;63.2
766667.09;6284810.49;0.47;0.15;53;3760;49.1;53.6
766668.35;6284809.85;0.52;0.08;12;4160;23.5;86.4
766672.35;6284807.81;0.51;0.08;49;4080;45.5;56.8
766673.67;6284807.15;0.35;0.22;42;2800;38.6;62.4
766676.81;6284805.49;0.54;0.09;33;4320;34.8;69.6
766680.03;6284803.77;0.45;0.07;46;3600;41.6;59.2
766682.1;6284802.72;0.5;0.06;40;4000;38.2;64
766684.97;6284801.15;0.46;0.07;50;3680;45;56
766687.57;6284799.8;0.36;0.11;59;2880;50.8;48.8
766690.21;6284798.4;0.54;0.09;33;4320;34.8;69.6
766693.11;6284796.97;0.51;0.13;41;4080;40.1;63.2
766695.1;6284795.81;0.43;0.18;56;3440;51.2;51.2
766698.66;6284793.84;0.48;0.03;42;3840;38.8;62.4
766699.87;6284793.31;0.38;0.12;50;3040;43.8;56
766703.09;6284791.6;0.5;0.1;36;4000;36.1;67.2
766704.97;6284790.5;0.44;0.12;50;3520;45.2;56
766707.5;6284789.25;0.4;0.18;56;3200;50.3;51.2
766710.99;6284787.3;0.39;0.14;49;3120;43.5;56.8
766712.84;6284786.33;0.51;0.07;49;4080;45.4;56.8
766716.54;6284784.43;0.52;0.13;35;4160;36.2;68
766718.66;6284783.32;0.4;0.09;42;3200;37.9;62.4
766721.6;6284781.69;0.44;0.14;56;3520;50.8;51.2
766724.51;6284780.29;0.39;0.15;53;3120;47;53.6
766725.92;6284779.55;0.46;0.11;51;3680;46.4;55.2
766729.72;6284777.56;0.47;0.05;48;3760;43.3;57.6
766732.25;6284776.18;0.38;0.19;53;3040;47.3;53.6
766734.31;6284775.02;0.51;0.15;43;4080;41.9;61.6
766736.9;6284773.68;0.41;0.09;58;3280;50.9;49.6
766739.08;6284772.44;0.42;0.1;51;3360;45.3;55.2
766742.3;6284770.88;0.38;0.1;41;3040;37;63.2
766744.75;6284769.58;0.31;0.09;40;2480;34.8;64
766748.26;6284767.72;0.49;0.11;36;3920;36;67.2
766750.52;6284766.4;0.42;0.13;49;3360;44.1;56.8
766752.64;6284765.26;0.48;0.12;39;3840;37.9;64.8
766755.88;6284763.54;0.43;0.11;42;3440;38.8;62.4
766758.58;6284762.12;0.36;0.15;43;2880;38.6;61.6
766760.86;6284760.94;0.52;0.11;37;4160;37.3;66.4
766763.34;6284759.63;0.51;0.2;42;4080;41.8;62.4
766765.98;6284758.25;0.46;0.17;42;3680;40.3;62.4
766769.34;6284756.42;0.54;0.08;25;4320;30;76
766771.25;6284755.46;0.41;0.23;56;3280;51.5;51.2
766774.3;6284753.74;0.46;0.08;39;3680;37;64.8
766776.74;6284752.59;0.39;0.07;45;3120;39.5;60
766778.47;6284751.69;0.5;0.13;41;4000;39.9;63.2
766782.04;6284749.79;0.44;0.19;44;3520;41.6;60.8
766784.25;6284748.67;0.45;0.2;31;3600;33.2;71.2
766776.28;6284747.2;0.39;0.07;41;3120;36.8;63.2
766773.86;6284748.3;0.4;0.17;44;3200;40.4;60.8
766771.56;6284749.6;0.36;0.11;57;2880;49;50.4
766768.39;6284751.32;0.31;0.13;50;2480;42.3;56
766766.18;6284752.57;0.4;0.07;54;3200;46.8;52.8
766762.85;6284754.32;0.37;0.11;46;2960;40.4;59.2
766760.21;6284755.6;0.33;0.19;57;2640;49.5;50.4
766758.03;6284756.71;0.45;0.16;45;3600;42.1;60
766754.72;6284758.53;0.37;0.1;51;2960;44;55.2
766752.95;6284759.38;0.47;0.18;48;3760;45.3;57.6
766749.85;6284761.08;0.44;0.14;52;3520;47.2;54.4
766747.16;6284762.46;0.41;0.2;40;3280;38.2;64
766745.11;6284763.56;0.43;0.18;47;3440;43.5;58.4
766741.84;6284765.37;0.36;0.14;52;2880;45.2;54.4
766739.29;6284766.66;0.38;0.14;54;3040;47.4;52.8
766736.13;6284768.42;0.46;0.12;40;3680;38.2;64
766733.25;6284769.9;0.03;0.05;65;240;46.3;44
766731.67;6284770.66;0.44;0.05;42;3520;38.2;62.4
766728.84;6284772.22;0.38;0.12;51;3040;44.6;55.2
766726.96;6284773.28;0.43;0.15;47;3440;43.1;58.4
766723.64;6284775;0.35;0.12;45;2800;39.4;60
766721.74;6284775.99;0.41;0.11;51;3280;45.2;55.2
766718.59;6284777.69;0.45;0.1;41;3600;38.4;63.2
766717.76;6284778.17;0.56;0.11;33;4480;35.4;69.6
766713.78;6284780.22;0.48;0.05;33;3840;33.2;69.6
766712.42;6284780.87;0.41;0.11;51;3280;45.2;55.2
766709.55;6284782.47;0.42;0.15;52;3360;46.9;54.4
766707.56;6284783.56;0.1;0.13;41;800;32.1;63.2
766704.68;6284785;0.46;0.11;43;3680;40.2;61.6
766702.16;6284786.38;0.34;0.75;53;2720;56.1;53.6
766700.18;6284787.46;0.4;0.14;47;3200;42.2;58.4
766696.99;6284789.06;0.4;0.09;58;3200;50.6;49.6
766694.54;6284790.45;0.3;0.14;57;2400;47.9;50.4
766691.77;6284791.87;0.41;0.06;35;3280;33.3;68
766688.96;6284793.26;0.35;0.12;58;2800;49.8;49.6
766687.18;6284794.22;0.45;0.16;52;3600;47.8;54.4
766683.86;6284796;0.46;0.11;42;3680;39.5;62.4
766681.53;6284797.21;0.42;0.16;49;3360;44.6;56.8
766678.47;6284798.81;0.47;0.08;42;3760;39.3;62.4
766676.12;6284800.02;0.42;0.13;55;3360;49.2;52
766673.61;6284801.4;0.47;0.12;58;3760;53.1;49.6
766670.97;6284802.76;0.43;0.11;39;3440;36.8;64.8
766669.26;6284803.6;0.46;0.1;42;3680;39.3;62.4
766665.88;6284805.41;0.5;0.14;43;4000;41.5;61.6
766663.02;6284806.88;0.39;0.15;52;3120;46.1;54.4
766660.22;6284808.36;0.45;0.07;51;3600;45.5;55.2
766657.35;6284809.88;0.39;0.15;52;3120;46.1;54.4
766655.72;6284810.71;0.48;0.09;42;3840;39.6;62.4
766651.68;6284812.86;0.51;0.12;38;4080;37.9;65.6
766649.93;6284813.77;0.43;0.18;17;3440;25.3;82.4
766647.1;6284815.33;0.46;0.14;31;3680;32.7;71.2
766645.2;6284816.31;0.47;0.08;20;3760;26.4;80
766642.96;6284817.37;0.5;0.12;51;4000;47.6;55.2
766641.1;6284812.72;0.45;0.19;51;3600;47.4;55.2
766642.87;6284811.77;0.37;0.24;61;2960;55.3;47.2
