X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766326.59;6284545.06;0.15;0.09;26;1200;59.9
766326.71;6284542.36;0.17;0.13;29;1360;64.6
766326.84;6284539.44;0.16;0.13;26;1280;60.8
766326.94;6284535.59;0.17;0.04;31;1360;65.8
766326.91;6284532.86;0.17;0.23;31;1360;68
766323.67;6284531.61;0.21;0.18;34;1680;73.2
766321.96;6284532.89;0.23;0.12;28;1840;66.4
766321.8;6284536.29;0.22;0.09;29;1760;66.7
766321.7;6284539.16;0.17;0.06;29;1360;63.8
766321.6;6284541.9;0.2;0.09;21;1600;57.1
766321.56;6284544.78;0.12;0.1;27;960;59.7
766321.52;6284547.77;0.16;0.13;27;1280;61.9
766321.48;6284550.51;0.2;0.11;31;1600;68.2
766321.37;6284553.73;0.17;0.08;24;1360;58.7
766321.35;6284557.37;0.22;0.14;12;1760;52.8
766321.27;6284559.49;0.13;0.13;20;1040;54
766321.17;6284562.34;0.17;0.12;25;1360;60.2
766321.06;6284565.46;0.14;0.11;22;1120;55.7
766321.04;6284568.57;0.2;0.08;31;1600;67.9
766320.93;6284571.36;0.25;0.12;8;2000;51.8
766320.83;6284573.68;0.15;0.1;24;1200;58
766320.77;6284576.86;0.19;0.08;24;1520;59.7
766320.72;6284579.21;0.14;0.08;25;1120;58.3
766320.58;6284582.11;0.08;0.18;32;640;63.9
766320.54;6284585.79;0.17;0.1;23;1360;57.9
766320.5;6284588.61;0.13;0.14;27;1040;60.6
766320.44;6284591.54;0.13;0.14;32;1040;66.1
766320.33;6284594.38;0.2;0.09;26;1600;62.3
766320.28;6284597.05;0.16;0.2;16;1280;53.6
766320.24;6284600.18;0.16;0.14;28;1280;63.1
766320.19;6284603.09;0.23;0.17;26;1840;64.7
766320.07;6284606.11;0.2;0.12;29;1600;66
766320.01;6284609.29;0.14;0.14;27;1120;61
766319.94;6284611.7;0.19;0.09;32;1520;68.6
766319.88;6284615.17;0.08;0.16;29;640;60.5
766319.83;6284617.68;0.12;0.16;35;960;69.3
766319.75;6284620.77;0.17;0.19;20;1360;55.8
766319.66;6284623.68;0.14;0.13;22;1120;55.9
766319.57;6284626.93;0.2;0.18;14;1600;53.5
766319.51;6284630.09;0.15;0.16;24;1200;58.6
766319.46;6284632.48;0.15;0.17;25;1200;59.7
766319.37;6284635.21;0.16;0.15;25;1280;60
766319.39;6284638.29;0.15;0.39;16;1200;54.8
766319.35;6284640.16;0.09;0.42;20;720;55.3
766319.1;6284644.21;0.18;0.1;27;1440;62.6
766316.14;6284642.88;0.2;0.22;28;1600;66
766314.26;6284638.35;0.14;0.11;23;1120;56.7
766314.34;6284635.62;0.14;0.07;22;1120;55.3
766314.5;6284632.69;0.1;0.08;26;800;57.5
766314.44;6284628.51;0.09;1.02;34;720;77
766314.48;6284627.05;0.12;0.1;17;960;52.3
766314.69;6284622.88;0.15;0.04;4;1200;44.9
766314.73;6284620.34;0.16;0.14;12;1280;51.5
766314.77;6284617.82;0.15;0.07;16;1200;52.4
766314.84;6284614.93;0.11;0.07;25;880;56.9
766314.92;6284611.71;0.13;0.1;20;1040;53.7
766315.02;6284608.72;0.11;0.1;25;880;57.2
766315.07;6284605.63;0.12;0.09;22;960;54.6
766315.1;6284603.3;0.11;0.2;26;880;59.2
766315.14;6284599.95;0.16;0.12;10;1280;50.6
766315.18;6284597.97;0.13;0.12;16;1040;52.3
766315.35;6284593.39;0.11;0.13;26;880;58.5
766315.4;6284591.58;0.17;0.15;14;1360;52.6
766315.56;6284588.31;0.14;0.12;27;1120;60.8
766315.66;6284586.46;0.21;0.24;14;1680;44
766315.79;6284581.63;0.13;0.11;28;1040;61.3
766315.74;6284579.17;0.15;0.09;29;1200;63.1
766315.8;6284575.64;0.22;0.08;19;1760;56
766315.86;6284573.43;0.14;0.09;21;1120;54.5
766315.98;6284570.72;0.1;0.06;31;800;62.6
766316.04;6284567.9;0.15;0.1;22;1200;56
766316.09;6284565.02;0.13;0.11;15;1040;51.8
766316.27;6284561.01;0.13;0.12;34;1040;68.1
766316.28;6284559.03;0.17;0.15;28;1360;63.7
766316.4;6284555.86;0.23;0.18;34;1840;74.4
766316.46;6284552.45;0.28;0.14;14;2240;55
766316.49;6284550.01;0.14;0.13;26;1120;59.9
766316.63;6284546.93;0.18;0.09;26;1440;61.4
766316.74;6284543.78;0.14;0.08;31;1120;64.8
766316.85;6284541.12;0.2;0.12;23;1600;59.5
766316.93;6284538.69;0.16;0.18;25;1280;60.3
766317;6284535.61;0.11;0.26;27;880;60.8
766316.94;6284532.37;0.12;0.15;16;960;52.3
766312.05;6284531.16;0.22;0.08;26;1760;63.2
766311.9;6284534.48;0.17;0.22;16;1360;53.9
766311.85;6284536.71;0.23;0.09;30;1840;68.4
766311.79;6284539.72;0.18;0.24;22;1440;58.7
766311.71;6284542.71;0.22;0.09;32;1760;70.3
766311.68;6284545.09;0.22;0.07;38;1760;77.7
766311.61;6284548.22;0.16;0.11;34;1280;69.6
766311.53;6284550.86;0.19;0.23;20;1520;57.1
766311.44;6284554.17;0.18;0.08;28;1440;63.4
766311.36;6284557.27;0.15;0.09;26;1200;59.9
766311.33;6284560.06;0.16;0.07;25;1280;59.1
766311.24;6284563.18;0.15;0.07;27;1200;60.8
766311.11;6284566.15;0.15;0.06;22;1200;55.6
766311.04;6284568.91;0.18;0.07;27;1440;62.2
766310.98;6284571.81;0.2;0.06;25;1600;61
766310.92;6284574.54;0.15;0.1;28;1200;62.1
766310.84;6284577.94;0.17;0.07;17;1360;53.2
766310.79;6284580.58;0.21;0.12;17;1680;54.5
766310.72;6284583.52;0.14;0.08;25;1120;58.3
766310.63;6284586.7;0.15;0.06;22;1200;55.6
766310.53;6284589.2;0.17;0.11;29;1360;64.4
766310.42;6284592.76;0.23;0.06;22;1840;59.2
766310.41;6284595.07;0.17;0.07;31;1360;66.1
766310.31;6284598.11;0.19;0.1;28;1520;64.2
766310.22;6284601;0.16;0.09;27;1280;61.4
766310.14;6284604.04;0.16;0.12;28;1280;62.8
766310.03;6284606.73;0.22;0.08;25;1760;62.1
766309.9;6284610.04;0.16;0.07;26;1280;60.2
766309.83;6284612.66;0.18;0.09;23;1440;58.3
766309.79;6284615.3;0.22;0.07;19;1760;55.9
766309.76;6284618.44;0.16;0.08;26;1280;60.3
766309.67;6284620.76;0.19;0.22;6;1520;50.5
766309.59;6284623.94;0.18;0.08;21;1440;56.1
766309.58;6284627.02;0.18;0.15;31;1440;67.6
766309.53;6284630.12;0.17;0.08;29;1360;64
766309.38;6284633.21;0.17;0.08;25;1360;59.7
766309.39;6284636.53;0.21;0.06;27;1680;63.6
766309.27;6284639.22;0.15;0.09;28;1200;62.1
766309.24;6284641.08;0.23;0.12;26;1840;64.2
766304.35;6284636.54;0.16;0.24;18;1280;54.7
766304.4;6284634.25;0.17;0.26;24;1360;60.6
766304.47;6284631.38;0.15;0.1;13;1200;51.4
766304.58;6284628.09;0.14;0.31;17;1120;54.4
766304.62;6284625.25;0.19;0.22;19;1520;56
766304.68;6284622.91;0.17;0.21;20;1360;56
766304.76;6284619.15;0.1;0.21;31;800;64.2
766304.8;6284616.85;0.12;0.08;33;960;66
766304.93;6284614.34;0.12;0.14;26;960;59.1
766304.98;6284611.18;0.18;0.1;24;1440;59.4
766305.06;6284607.77;0.13;0.06;34;1040;67.4
766305.15;6284604.68;0.16;0.1;26;1280;60.5
766305.2;6284601.61;0.17;0.1;25;1360;59.9
766305.24;6284598.69;0.16;0.3;20;1280;56.4
766305.34;6284595.96;0.19;0.1;25;1520;60.9
766305.41;6284592.97;0.12;0.07;27;960;59.4
766305.48;6284590.65;0.17;0.09;23;1360;57.8
766305.56;6284586.84;0.15;0.09;25;1200;58.9
766305.63;6284584.44;0.14;0.18;22;1120;56.4
766305.67;6284581;0.18;0.08;23;1440;58.1
766305.68;6284578.6;0.15;0.1;33;1200;67.8
766305.84;6284575.23;0.17;0.1;29;1360;64.2
766305.91;6284572.61;0.13;0.12;23;1040;56.3
766305.99;6284569.68;0.14;0.11;25;1120;58.6
766306.02;6284566.21;0.16;0.07;25;1280;59.1
766306.09;6284563.9;0.14;0.11;25;1120;58.6
766306.25;6284560.57;0.21;0.09;25;1680;61.7
766306.35;6284557.79;0.22;0.14;18;1760;55.6
766306.46;6284554.63;0.18;0.12;26;1440;61.6
766306.56;6284551.77;0.16;0.07;28;1280;62.3
766306.64;6284548.67;0.15;0.09;26;1200;59.9
766306.64;6284546.13;0.18;0.06;26;1440;61
766306.71;6284542.18;0.34;0.14;16;2720;45.1
766306.77;6284539.77;0.17;0.21;29;1360;65.4
766306.89;6284536.4;0.24;0.18;24;1920;63.1
766306.98;6284533.89;0.15;0.18;23;1200;57.8
766305.83;6284531.02;0.2;0.13;32;1600;69.6
766301.93;6284531.75;0.26;0.08;27;2080;66.3
766301.93;6284534.6;0.19;0.13;24;1520;60.2
766301.81;6284537.6;0.2;0.16;28;1600;65.3
766301.68;6284540.67;0.21;0.12;26;1680;63.1
766301.67;6284543.33;0.2;0.14;29;1600;66.2
766301.6;6284546.33;0.18;0.1;35;1440;71.8
766301.45;6284549.18;0.17;0.08;34;1360;69.8
766301.39;6284551.94;0.2;0.1;33;1600;70.5
766301.31;6284554.97;0.18;0.13;26;1440;61.8
766301.2;6284557.7;0.17;0.13;28;1360;63.5
766301.13;6284560.95;0.17;0.13;29;1360;64.6
766301.04;6284563.8;0.16;0.1;28;1280;62.6
766301.04;6284566.26;0.2;0.07;20;1600;56
