X-Lamb;Y-Lamb;Hauteur (m);Epaisseur (m);Densite (%);Leaf wall area (m².ha-1);Pourcentage de la dose homologuée à appliquer
766806.94;6284756.43;1.37;0.46;40;10960;62.2
766805.14;6284757.41;1.42;0.31;79;11360;102.4
766802.58;6284758.79;1.04;0.62;47;8320;52.9
766800.25;6284759.97;1.41;0.51;58;11280;82
766797.67;6284761.43;1.16;0.37;68;9280;73.3
766794.95;6284762.87;1.12;0.29;72;8960;75
766792.65;6284764.05;1.54;0.33;76;12320;112.6
766790.28;6284765.27;1.16;0.38;78;9280;88.1
766787.93;6284766.54;1.57;0.46;71;12560;113.3
766784.93;6284768.07;1.42;0.46;68;11360;92.9
766782.64;6284769.26;1.49;0.4;75;11920;107.6
766780.1;6284770.59;1.31;0.43;65;10480;78.9
766777.74;6284771.92;1.43;0.36;76;11440;101.1
766775.21;6284773.25;1.18;0.38;73;9440;81.4
766772.49;6284774.72;1.26;0.46;69;10080;81.3
766769.45;6284776.34;1.33;0.32;67;10640;80
766767.93;6284777.15;1.44;0.44;80;11520;110.2
766764.91;6284778.76;1.46;0.38;79;11680;109.1
766763.18;6284779.67;1.33;0.31;69;10640;81.8
766759.96;6284781.46;1.46;0.33;66;11680;91
766757.39;6284782.72;1.51;0.48;70;12080;105.5
766755.01;6284783.94;1.56;0.46;77;12480;121
766752.52;6284785.19;1.14;0.41;52;9120;55.7
766750.21;6284786.53;1.05;0.45;35;8400;42.9
766746.67;6284788.49;1.52;0.36;55;12160;84.9
766745.38;6284789.17;1.45;0.5;66;11600;94.7
766742.64;6284790.64;1.29;0.55;57;10320;72.9
766739.54;6284792.23;1.34;0.36;68;10720;82.9
766737.72;6284793.2;1.45;0.6;37;11600;69.5
766735.16;6284794.57;1.44;0.46;58;11520;83.5
766732.52;6284796.08;1.18;0.43;63;9440;69.1
766729.95;6284797.46;1.28;0.31;79;10240;93.6
766728.1;6284798.45;1.03;0.44;44;8240;46.4
766724.65;6284800.14;1.1;0.37;59;8800;60.3
766722.16;6284801.51;1.25;0.35;64;10000;71.4
766719.54;6284802.89;1.16;0.28;72;9280;76.4
766716.96;6284804.16;1.61;0.37;75;12880;121
766714.45;6284805.34;1.38;0.52;66;11040;88.3
766711.72;6284806.93;1.46;0.33;76;11680;103.4
766709.44;6284808.1;1.05;0.36;61;8400;60.7
766706.62;6284809.69;1.42;0.35;63;11360;84.4
766704.24;6284810.95;1.29;0.35;58;10320;69
766701.55;6284812.34;1.35;0.35;76;10800;93.4
766699.05;6284813.62;1.39;0.42;76;11120;98.6
766697.1;6284814.66;1.41;0.5;71;11280;96.7
766693.21;6284816.6;1.3;0.31;53;10400;64.6
766691.55;6284817.55;1.57;0.38;71;12560;110.6
766689.28;6284818.78;1.36;0.69;60;10880;86.4
766686.41;6284820.25;1.5;0.21;77;12000;105.5
766683.51;6284821.81;1.04;0.45;53;8320;53.8
766680.92;6284823.12;1.33;0.42;70;10640;85.6
766678.85;6284824.17;1.38;0.45;73;11040;94.7
766676.25;6284825.6;1.68;0.33;76;13440;130.7
766673.69;6284827.04;1.54;0.52;73;12320;114.5
766670.87;6284828.42;1.67;0.44;68;13360;120.5
766668.29;6284829.79;1.31;0.41;62;10480;75.4
766665.94;6284831.09;1.45;0.37;60;11600;84.3
766663.06;6284832.63;1.44;0.41;63;11520;87.8
766660.9;6284833.73;1.03;0.43;47;8240;47.7
766658.44;6284834.88;1.3;0.38;57;10400;69.4
766655.95;6284836.17;1.12;0.42;60;8960;63.2
766652.92;6284835.48;1.6;0.71;81;12800;142.9
766653.03;6284832.29;1.36;0.71;73;10880;101.1
766655.44;6284830.98;1.56;0.46;72;12480;113.6
766657.42;6284829.86;1.09;0.5;62;8720;66.2
766660.94;6284827.99;1.18;0.42;65;9440;71.4
766663.4;6284826.58;1.45;0.31;71;11600;95.3
766665.67;6284825.42;1.67;0.38;83;13360;143.3
766668.37;6284824.03;1.6;0.32;74;12800;116.7
766670.89;6284822.71;1.41;0.56;63;11280;88.8
766673.55;6284821.41;1.48;0.46;72;11840;104.3
766676.31;6284820;1.46;0.43;69;11680;97.4
766678.72;6284818.76;1.21;0.38;68;9680;75.6
766681.46;6284817.28;1.53;0.28;78;12240;112.6
766683.94;6284815.98;1.38;0.24;74;11040;90.2
766686.14;6284814.85;1.63;0.31;79;13040;128
766688.89;6284813.47;1.01;0.5;42;8080;45.8
766691.33;6284812.07;1.43;0.37;73;11440;97.5
766694.46;6284810.4;1.26;0.34;63;10080;71
766696.38;6284809.44;1.62;0.26;85;12960;134.5
766698.89;6284808.12;1.39;0.72;72;11120;103.4
766701.56;6284806.69;1.3;0.37;71;10400;83.6
766703.92;6284805.53;1.45;0.44;61;11600;87.2
766705.86;6284804.44;1.29;0.29;66;10320;75
766708.75;6284802.98;1.19;0.59;74;9520;89.6
766710.97;6284801.72;1.53;0.46;62;12240;96.7
766713.24;6284800.43;1.54;0.4;75;12320;113.6
766715.59;6284799.1;1.31;0.39;75;10480;90.9
766718.02;6284797.86;1.23;0.41;61;9840;68.4
766720.71;6284796.54;1.24;0.37;60;9920;67.4
766722.85;6284795.45;1.37;0.41;67;10960;85.7
766726.06;6284793.74;1.31;0.65;72;10480;94.2
766728.45;6284792.49;1.35;0.32;72;10800;87.1
766731.18;6284791.08;1.4;0.4;76;11200;99.1
766733.7;6284789.77;1.25;0.35;67;10000;75.1
766736.29;6284788.37;1.46;0.39;77;11680;106.6
766738.78;6284786.9;1.32;0.24;69;10560;79.3
766741.35;6284785.61;1;0.44;64;8000;64
766744.1;6284784.12;1.13;0.33;69;9040;72.5
766746.48;6284782.83;1.3;0.29;69;10400;78.8
766749.31;6284781.27;1.46;0.32;66;11680;90.7
766751.76;6284779.95;1.29;0.38;81;10320;99.9
766754.01;6284778.72;1.22;0.43;66;9760;74.6
766756.76;6284777.3;1.54;0.41;80;12320;121.3
766758.91;6284776.13;1.48;0.45;71;11840;102.6
766762.49;6284774.31;1.35;0.42;64;10800;81
766764.44;6284773.3;1.21;0.36;78;9680;90
766766.97;6284771.92;1.27;0.49;72;10160;87.2
766769.81;6284770.43;1.24;0.4;74;9920;86.2
766772.29;6284769.1;1.67;0.29;79;13360;132.6
766774.4;6284767.92;1.35;0.48;65;10800;83.5
766777.51;6284766.18;1.09;0.35;61;8720;61.8
766780.34;6284764.71;1.35;0.67;64;10800;88.6
766782.91;6284763.42;1.25;0.37;64;10000;71.8
766785.02;6284762.35;1.7;0.34;68;13600;120.7
766787.91;6284760.89;1.4;0.27;74;11200;92.9
766790.14;6284759.67;1.18;0.41;70;9440;77.9
766793.23;6284758.04;1.16;0.36;74;9280;81.4
766795.57;6284756.84;1.36;0.3;82;10880;102.9
766798.23;6284755.42;1.52;0.52;87;12160;134.2
766800.79;6284754.12;1.55;0.85;87;12400;152.8
766802.13;6284753.33;1.14;1.1;78;9120;111.5
766793.74;6284752.24;1.15;0.51;64;9200;71.2
766790.97;6284753.61;1.11;0.39;34;8880;43.7
